molecule_chembl_id,pchembl_value,smiles,ROMol
CHEMBL4856177,9.1,CC(C)c1c2cc(-c3ccnc(Nc4ccc5c(N6CCN(C)CC6)ccnc5c4)n3)ccc2nn1C,<rdkit.Chem.rdchem.Mol object at 0x0000026B41ABB350>
CHEMBL1080902,9.1,COc1ccc(C2=NNC(=O)/C2=N\Nc2cccc(OC)c2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B41ABB6D0>
CHEMBL4065818,9.1,COc1ccccc1N1CCN(c2nc(-c3ccncn3)cc(=O)n2C)[C@H](C)C1,<rdkit.Chem.rdchem.Mol object at 0x0000026B41ABBEB0>
CHEMBL260138,9.1,N#CCCc1ccc2c(c1)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2,<rdkit.Chem.rdchem.Mol object at 0x0000026B41ABB200>
CHEMBL3410111,9.08,CC(C)Oc1nc(-c2ccnc(NC(=O)C3CC3)c2)ncc1C(N)=O,<rdkit.Chem.rdchem.Mol object at 0x0000026B41ABBC10>
CHEMBL1940981,9.07,C[C@H]1COc2c(NCCCn3cccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23,<rdkit.Chem.rdchem.Mol object at 0x0000026B408E4430>
CHEMBL3091540,9.06,COc1ccccc1[C@H]1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCO1,<rdkit.Chem.rdchem.Mol object at 0x0000026B408534A0>
CHEMBL2386272,9.06,Cn1cc(C2=C(c3cnc4ccccn34)C(=O)NC2=O)c2cc(Br)ccc21,<rdkit.Chem.rdchem.Mol object at 0x0000026B41B2C6D0>
CHEMBL5178166,9.05,O=C1NC(=O)C(c2cn3c4c(cc(F)cc24)CN(C(=O)N2CCCCC2)CC3)=C1c1cn2ccccc2n1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862040>
CHEMBL522590,9.02,Cn1cc(C2=C(c3coc4cc(CO)ccc34)C(=O)NC2=O)c2cc(F)c(Cl)cc21,<rdkit.Chem.rdchem.Mol object at 0x0000026B408620B0>
CHEMBL4764153,9.02,COc1ccc(CC(=O)Nc2cc([C@@H]3CC[C@H](OC(=O)N4CCC4(C)C)C3)[nH]n2)cn1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862120>
CHEMBL3943813,9.0,Nc1ncc(-c2ccccc2)nc1C(=O)Nc1ccccc1N1CCC(N)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862190>
CHEMBL495727,9.0,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862200>
CHEMBL1957949,9.0,CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3[nH]c(-c4ccc(F)cc4)nc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862270>
CHEMBL2177177,9.0,CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4ncns4)n3)cc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000026B408622E0>
CHEMBL1082151,9.0,Cn1cc(C2=C(c3cccc(NCCCO)c3)C(=O)NC2=O)c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862350>
CHEMBL261129,9.0,CN1CCC(C(=O)Nc2n[nH]c3nc(-c4ccc(O)cc4)c(Br)cc23)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000026B408623C0>
CHEMBL260664,9.0,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(Cl)cc12)C1CC1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862430>
CHEMBL2048663,9.0,CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccoc4)nc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B408624A0>
CHEMBL1940986,9.0,C[C@H]1COc2c(NCCCn3ccnc3)c(F)c(N)c3c(=O)c(C#N)cn1c23,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862510>
CHEMBL3410089,8.96,COc1nc(-c2ccnc(NC(=O)C3CC3)c2)sc1C(N)=O,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862580>
CHEMBL4165510,8.96,O=CN1Cc2cc(F)cc3c(C4=C(c5cnc6ccccn56)C(=O)NC4=O)cn(c23)CC1N1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x0000026B408625F0>
CHEMBL4067532,8.96,Cn1c(N2CCNC(c3cccc(Cl)c3)C2)nc(-c2ccncn2)cc1=O,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862660>
CHEMBL2177155,8.96,CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cccnc4)n3)c(C(F)(F)F)c2)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000026B408626D0>
CHEMBL362558,8.96,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862740>
CHEMBL4077048,8.92,C[C@@H]1CN(c2ccc(Cl)cc2)CCN1c1nc(-c2ccncn2)cc(=O)n1C,<rdkit.Chem.rdchem.Mol object at 0x0000026B408627B0>
CHEMBL490842,8.92,Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2cccc(CCC(=O)O)c21,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862820>
CHEMBL4105346,8.92,Cn1c(N2CCN[C@@H](c3ccc(Cl)cc3)C2)nc(-c2ccncn2)cc1=O,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862890>
CHEMBL4744945,8.9,COc1ccc(CC(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)N4CCC4(C)C)C3)[nH]n2)cn1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862900>
CHEMBL4164416,8.89,CC(C)OC1Cn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)CN1C=O,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862970>
CHEMBL4162850,8.89,O=CN1Cc2cccc3c(C4=C(c5cnc6ccccn56)C(=O)NC4=O)cn(c23)CC1N1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x0000026B408629E0>
CHEMBL363058,8.89,CC(C)OC(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862A50>
CHEMBL2182001,8.89,CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cccnc4)n3)c(F)c2)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862AC0>
CHEMBL4521500,8.86,CC(=O)c1ccc(-c2c[nH]c3ncc(/C=C/C(=O)NCCc4ccccn4)cc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862B30>
CHEMBL1940979,8.85,C[C@H]1COc2c(NCCCc3ccccc3)c(F)c(N)c3c(=O)c(C#N)cn1c23,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862BA0>
CHEMBL4763408,8.85,CCC(CO)CNC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)Cc3ccc(OC)nc3)n[nH]2)C1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862C10>
CHEMBL4579826,8.85,CC(=O)c1ccc(-c2c[nH]c3ncc(/C=C/C(=O)NCc4ccncc4)cc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862C80>
CHEMBL3719193,8.85,C[C@@H]1CN(c2ccccc2)CCN1c1nc(-c2ccncn2)cc(=O)n1C,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862CF0>
CHEMBL2203552,8.83,COc1cnc(-c2cnc3ccccc3c2)nc1-c1cc2c([nH]1)CCNC2=O,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862D60>
CHEMBL270473,8.82,Cc1cc(-c2cc(-c3nc4ccc(CN5CCN(C)CC5)cc4[nH]3)c(=O)[nH]n2)cc(C)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862DD0>
CHEMBL2177156,8.82,Cc1cc(S(=O)(=O)N2CCN(C)CC2)c(C)cc1-c1cnc(N)c(C(=O)Nc2cccnc2)n1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862E40>
CHEMBL4169204,8.8,CN(C)C1Cn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)CN1C=O,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862EB0>
CHEMBL362588,8.8,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862F20>
CHEMBL4104714,8.77,Cn1c(N2CCNC(c3ccc(Cl)cc3)C2)nc(-c2ccncn2)cc1=O,<rdkit.Chem.rdchem.Mol object at 0x0000026B40862F90>
CHEMBL4071429,8.77,COc1cc(F)cc(F)c1C1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCN1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859040>
CHEMBL4758192,8.76,Cc1ncc(CC(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)N4C[C@@H](C#N)[C@@H]4C)C3)[nH]n2)s1,<rdkit.Chem.rdchem.Mol object at 0x0000026B408590B0>
CHEMBL4065624,8.74,COc1ccccc1C1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCN1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859120>
CHEMBL54547,8.74,Cn1cc(C2=C(c3cccc(N)c3)C(=O)NC2=O)c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859190>
CHEMBL1081973,8.74,Cn1cc(C2=C(c3cccc(CC(O)CO)c3)C(=O)NC2=O)c2cc(F)ccc21,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859200>
CHEMBL4085821,8.74,COc1ccccc1C1CN(c2nc(-c3ccncc3)cc(=O)n2C)CCN1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859270>
CHEMBL4744114,8.73,COc1ccc(CC(=O)Nc2cc([C@@H]3CC[C@H](OC(=O)N[C@H]4CC[C@H](O)CC4)C3)[nH]n2)cn1,<rdkit.Chem.rdchem.Mol object at 0x0000026B408592E0>
CHEMBL2386092,8.72,O=C1NC(=O)C(c2cn3c4c(cc(F)cc24)CN(C(=O)N2CCCCC2)CC3)=C1c1coc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859350>
CHEMBL1076701,8.72,COc1ccc(C2=NNC(=O)/C2=N\Nc2cccc(Cl)c2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B408593C0>
CHEMBL1081633,8.7,COc1ccc(N/N=C2\C(=O)NN=C2c2ccc(OC)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859430>
CHEMBL2048684,8.7,COc1ccncc1NC(=O)c1ccnc2[nH]c(-c3cccc(Cl)c3)nc12,<rdkit.Chem.rdchem.Mol object at 0x0000026B408594A0>
CHEMBL1076721,8.7,COc1ccc(C2=NNC(=O)/C2=N\Nc2cccnc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859510>
CHEMBL2048680,8.7,COc1ccc(-c2nc3c(C(=O)Nc4cnccc4C)ccnc3[nH]2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859580>
CHEMBL549953,8.7,CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3[nH]c(-c4ccc(F)cc4Cl)nc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B408595F0>
CHEMBL526110,8.7,O=[N+]([O-])c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859660>
CHEMBL1079966,8.7,COc1ccc(N/N=C2\C(=O)NN=C2c2cnccc2OC)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B408596D0>
CHEMBL2048660,8.7,CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccc(F)cc4F)nc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859740>
CHEMBL2048685,8.7,COc1ccncc1NC(=O)c1ccnc2[nH]c(-c3ccncc3)nc12,<rdkit.Chem.rdchem.Mol object at 0x0000026B408597B0>
CHEMBL4098458,8.7,COc1cc(F)cc(F)c1C1CN(c2nc(-c3ccncc3)cc(=O)n2C)CCN1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859820>
CHEMBL4172295,8.7,O=CN1Cc2cccc3c(C4=C(c5cnc6ccccn56)C(=O)NC4=O)cn(c23)CC1N1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859890>
CHEMBL233970,8.7,N=C1NC(=O)/C(=C/c2ccc(-c3ccc(S(N)(=O)=O)c(C(F)(F)F)c3)o2)S1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859900>
CHEMBL5077814,8.7,C#Cc1ccc2c(c1)[nH]c1ncnc(N3CCC4CCN(CCC#N)CC43)c12,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859970>
CHEMBL4088777,8.7,Cn1c(N2CCNC(c3cccc(Br)c3)C2)nc(-c2ccncn2)cc1=O,<rdkit.Chem.rdchem.Mol object at 0x0000026B408599E0>
CHEMBL4639853,8.7,Cc1cc(Nc2cc(Cl)nc(Oc3ccc([N+](=O)[O-])cc3)n2)n[nH]1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859A50>
CHEMBL1080849,8.7,COc1ccc(C2=NNC(=O)/C2=N\Nc2ccc(Cl)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859AC0>
CHEMBL1086602,8.7,CCN(CC)c1ccc(N/N=C2\C(=O)NN=C2c2ccc(OC)c(OC)c2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859B30>
CHEMBL2177159,8.7,COCCNS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3cccnc3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859BA0>
CHEMBL3949218,8.68,COc1ccc(/C=C2\S/C(=N\Cc3ccccc3)NC2=O)cc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x0000026B40859C10>
CHEMBL4074586,8.66,C[C@@H]1CN(c2cccc(C#N)c2)CCN1c1nc(-c2ccncn2)cc(=O)n1C,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859C80>
CHEMBL516640,8.64,COc1ccc(-n2cnc3ccc(-c4nnc(SCc5cccc(C#N)c5)o4)cc32)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859CF0>
CHEMBL4072455,8.64,Cn1c(N2CCNC(c3ccc(Cl)c(Cl)c3)C2)nc(-c2ccncn2)cc1=O,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859D60>
CHEMBL1230134,8.64,COc1ccc(-n2cnc3ccc(-c4n[nH]c(=S)o4)cc32)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859DD0>
CHEMBL1940989,8.62,C[C@H]1COc2c(NCCCc3ccccn3)c(F)c(N)c3c(=O)c(-c4nnn[nH]4)cn1c23,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859E40>
CHEMBL1088149,8.62,COc1ccc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2=O)c(OC)c1,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859EB0>
CHEMBL3410094,8.62,O=C1NCCc2cc(-c3ccnc(NC(=O)C4CC4)c3)ccc21,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859F20>
CHEMBL3410096,8.62,O=C1NCCCc2cc(-c3ccnc(NC(=O)C4CC4)c3)ccc21,<rdkit.Chem.rdchem.Mol object at 0x0000026B40859F90>
CHEMBL3085387,8.6,CN1CCC(C2=C(C#N)[C@H](c3cccc4nonc34)c3c[nH]nc3N2)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000026B4085E040>
CHEMBL513570,8.6,COc1ccc(-n2cnc3ccc(-c4nnc(SCc5cccc(C(F)(F)F)c5)o4)cc32)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B4085E0B0>
CHEMBL4073837,8.59,Cn1c(N2CCNC(c3ccccc3Cl)C2)nc(-c2ccncn2)cc1=O,<rdkit.Chem.rdchem.Mol object at 0x0000026B4085E120>
CHEMBL178737,8.59,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,<rdkit.Chem.rdchem.Mol object at 0x0000026B4085E190>
CHEMBL4093559,8.57,C[C@@H]1CN(c2ccc(C#N)cc2)CCN1c1nc(-c2ccncn2)cc(=O)n1C,<rdkit.Chem.rdchem.Mol object at 0x0000026B4085E200>
CHEMBL4449746,8.56,O=C(/C=C/c1cnc2[nH]cc(-c3ccncc3)c2c1)NCc1ccncc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B4085E270>
CHEMBL1684800,8.56,COc1ccc(Cn2ncc(NC(=O)c3cc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)ccc3C)c2N)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B4085E2E0>
CHEMBL6291,8.55,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x0000026B4085E350>
CHEMBL3091538,8.54,COc1ccc([C@H]2CN(c3nc(-c4ccncn4)cc(=O)n3C)CCO2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B4085E3C0>
CHEMBL2048662,8.52,CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccsc4)nc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B4085E430>
CHEMBL2048676,8.52,CCN(CC)c1ccc(-c2nc3c(C(=O)Nc4cnccc4C)ccnc3[nH]2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026B4085E4A0>
CHEMBL1957956,8.52,O=C(NCCCn1ccnc1)c1ccc(O)c2[nH]c(-c3ccc(F)c(Cl)c3)nc12,<rdkit.Chem.rdchem.Mol object at 0x0000026B4085E510>
